Model (Parameters),z and alpha,"Data (len:900, TCP:500)",ARL0,ARL1,seed,Gap Size,Data Var
"SWM (z:1.6449,a:1.5,30)",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,14.0,111,5,1
"TM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,4.0,111,5,1
"CTM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"CTM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:-5 Var:1,500.0,9.0,111,5,1
"SWM (z:1.6449,a:2,10)",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"TM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"CTM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"SWM (z:1.6449,a:2,15)",z:1.6449 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"TM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"SWM (z:1.6449,a:2,20)",z:1.6449 alpha:2,MG:-5 Var:1,500.0,10.0,111,5,1
"TM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"WM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"SWM (z:1.6449,a:2,25)",z:1.6449 alpha:2,MG:-5 Var:1,500.0,13.0,111,5,1
"TM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"CTM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"SWM (z:1.6449,a:2,30)",z:1.6449 alpha:2,MG:-5 Var:1,500.0,15.0,111,5,1
"TM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"CTM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,10.0,111,5,1
"WM (z:1.6449,a:2,(0.2, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.6449,a:2,(0.2, 10))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:2,(0.2, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.6449,a:2,(0.2, 15))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.6449,a:2,(0.2, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.6449,a:2,(0.2, 20))",z:1.6449 alpha:2,MG:-5 Var:1,500.0,10.0,111,5,1
"SWM (z:1.6449,a:2.5,10)",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"TM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,6.0,111,5,1
"SWM (z:1.6449,a:2.5,15)",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"TM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"SWM (z:1.6449,a:2.5,20)",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"TM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"WM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,11.0,111,5,1
"SWM (z:1.6449,a:2.5,25)",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,13.0,111,5,1
"TM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,7.0,111,5,1
"SWM (z:1.6449,a:2.5,30)",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,15.0,111,5,1
"TM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,9.0,111,5,1
"WM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,12.0,111,5,1
"WM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,9.0,111,5,1
"WM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"CTM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:-5 Var:1,500.0,12.0,111,5,1
"SWM (z:1.96,a:0.5,10)",z:1.96 alpha:0.5,MG:-5 Var:1,3.2828947368421053,3.0,111,5,1
"TM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,3.2193548387096773,2.0,111,5,1
"WM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,3.0242424242424244,2.0,111,5,1
"CTM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,4.9405940594059405,2.0,111,5,1
"SWM (z:1.96,a:0.5,15)",z:1.96 alpha:0.5,MG:-5 Var:1,4.930693069306931,4.0,111,5,1
"TM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,4.9405940594059405,3.0,111,5,1
"WM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,4.663551401869159,3.0,111,5,1
"CTM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,7.545454545454546,3.0,111,5,1
"SWM (z:1.96,a:0.5,20)",z:1.96 alpha:0.5,MG:-5 Var:1,5.287234042553192,5.0,111,5,1
"TM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,5.7317073170731705,4.0,111,5,1
"WM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,5.465116279069767,3.0,111,5,1
"CTM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,7.4603174603174605,4.0,111,5,1
"SWM (z:1.96,a:0.5,25)",z:1.96 alpha:0.5,MG:-5 Var:1,6.785714285714286,5.0,111,5,1
"TM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,3.2193548387096773,2.0,111,5,1
"WM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,3.0242424242424244,2.0,111,5,1
"CTM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,5.659090909090909,2.0,111,5,1
"SWM (z:1.96,a:0.5,30)",z:1.96 alpha:0.5,MG:-5 Var:1,6.8428571428571425,7.0,111,5,1
"TM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,5.242105263157895,4.0,111,5,1
"WM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,4.115702479338843,3.0,111,5,1
"CTM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,9.222222222222221,3.0,111,5,1
"WM (z:1.96,a:0.5,(0.15, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,5.340909090909091,4.0,111,5,1
"CTM (z:1.96,a:0.5,(0.15, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,9.117647058823529,4.0,111,5,1
"WM (z:1.96,a:0.5,(0.2, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,3.5140845070422535,3.0,111,5,1
"CTM (z:1.96,a:0.5,(0.2, 10))",z:1.96 alpha:0.5,MG:-5 Var:1,6.30379746835443,3.0,111,5,1
"WM (z:1.96,a:0.5,(0.2, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,4.930693069306931,4.0,111,5,1
"CTM (z:1.96,a:0.5,(0.2, 15))",z:1.96 alpha:0.5,MG:-5 Var:1,10.021739130434783,4.0,111,5,1
"WM (z:1.96,a:0.5,(0.2, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,5.541176470588235,4.0,111,5,1
"CTM (z:1.96,a:0.5,(0.2, 20))",z:1.96 alpha:0.5,MG:-5 Var:1,14.090909090909092,4.0,111,5,1
"SWM (z:1.96,a:0.75,10)",z:1.96 alpha:0.75,MG:-5 Var:1,9.39622641509434,3.0,111,5,1
"TM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,13.105263157894736,3.0,111,5,1
"WM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,12.45,2.0,111,5,1
"CTM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,27.666666666666668,3.0,111,5,1
"SWM (z:1.96,a:0.75,15)",z:1.96 alpha:0.75,MG:-5 Var:1,15.5625,6.0,111,5,1
"TM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,27.0,4.0,111,5,1
"WM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,24.157894736842106,3.0,111,5,1
"CTM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,57.25,4.0,111,5,1
"SWM (z:1.96,a:0.75,20)",z:1.96 alpha:0.75,MG:-5 Var:1,35.46153846153846,7.0,111,5,1
"TM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,38.416666666666664,5.0,111,5,1
"WM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,30.733333333333334,4.0,111,5,1
"CTM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,91.6,5.0,111,5,1
"SWM (z:1.96,a:0.75,25)",z:1.96 alpha:0.75,MG:-5 Var:1,500.0,9.0,111,5,1
"TM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,13.105263157894736,3.0,111,5,1
"WM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,12.45,2.0,111,5,1
"CTM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,30.4,3.0,111,5,1
"SWM (z:1.96,a:0.75,30)",z:1.96 alpha:0.75,MG:-5 Var:1,500.0,8.0,111,5,1
"TM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,21.904761904761905,4.0,111,5,1
"WM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,20.90909090909091,3.0,111,5,1
"CTM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,57.25,4.0,111,5,1
"WM (z:1.96,a:0.75,(0.15, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,33.0,4.0,111,5,1
"CTM (z:1.96,a:0.75,(0.15, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,152.66666666666666,5.0,111,5,1
"WM (z:1.96,a:0.75,(0.2, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,11.066666666666666,3.0,111,5,1
"CTM (z:1.96,a:0.75,(0.2, 10))",z:1.96 alpha:0.75,MG:-5 Var:1,50.55555555555556,3.0,111,5,1
"WM (z:1.96,a:0.75,(0.2, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,25.555555555555557,4.0,111,5,1
"CTM (z:1.96,a:0.75,(0.2, 15))",z:1.96 alpha:0.75,MG:-5 Var:1,152.0,4.0,111,5,1
"WM (z:1.96,a:0.75,(0.2, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,35.53846153846154,5.0,111,5,1
"CTM (z:1.96,a:0.75,(0.2, 20))",z:1.96 alpha:0.75,MG:-5 Var:1,456.0,5.0,111,5,1
"SWM (z:1.96,a:1,10)",z:1.96 alpha:1,MG:-5 Var:1,37.666666666666664,4.0,111,5,1
"TM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:-5 Var:1,50.55555555555556,3.0,111,5,1
"WM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:-5 Var:1,45.6,3.0,111,5,1
"CTM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:-5 Var:1,500.0,3.0,111,5,1
"SWM (z:1.96,a:1,15)",z:1.96 alpha:1,MG:-5 Var:1,65.14285714285714,7.0,111,5,1
"TM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:-5 Var:1,152.0,4.0,111,5,1
"WM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:-5 Var:1,228.0,4.0,111,5,1
"CTM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:-5 Var:1,500.0,5.0,111,5,1
"SWM (z:1.96,a:1,20)",z:1.96 alpha:1,MG:-5 Var:1,500.0,9.0,111,5,1
"TM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,6.0,111,5,1
"SWM (z:1.96,a:1,25)",z:1.96 alpha:1,MG:-5 Var:1,500.0,12.0,111,5,1
"TM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:-5 Var:1,50.55555555555556,3.0,111,5,1
"WM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:-5 Var:1,45.6,3.0,111,5,1
"CTM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:-5 Var:1,500.0,3.0,111,5,1
"SWM (z:1.96,a:1,30)",z:1.96 alpha:1,MG:-5 Var:1,500.0,11.0,111,5,1
"TM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:-5 Var:1,152.0,5.0,111,5,1
"WM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:-5 Var:1,152.0,4.0,111,5,1
"CTM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:1,(0.15, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:1,(0.15, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.96,a:1,(0.2, 10))",z:1.96 alpha:1,MG:-5 Var:1,50.55555555555556,3.0,111,5,1
"CTM (z:1.96,a:1,(0.2, 10))",z:1.96 alpha:1,MG:-5 Var:1,500.0,3.0,111,5,1
"WM (z:1.96,a:1,(0.2, 15))",z:1.96 alpha:1,MG:-5 Var:1,152.0,5.0,111,5,1
"CTM (z:1.96,a:1,(0.2, 15))",z:1.96 alpha:1,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:1,(0.2, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,6.0,111,5,1
"CTM (z:1.96,a:1,(0.2, 20))",z:1.96 alpha:1,MG:-5 Var:1,500.0,7.0,111,5,1
"SWM (z:1.96,a:1.5,10)",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"TM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,3.0,111,5,1
"WM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,3.0,111,5,1
"CTM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,4.0,111,5,1
"SWM (z:1.96,a:1.5,15)",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"TM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"SWM (z:1.96,a:1.5,20)",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,10.0,111,5,1
"TM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,8.0,111,5,1
"SWM (z:1.96,a:1.5,25)",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,12.0,111,5,1
"TM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,3.0,111,5,1
"WM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,3.0,111,5,1
"CTM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,4.0,111,5,1
"SWM (z:1.96,a:1.5,30)",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,14.0,111,5,1
"TM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,6.0,111,5,1
"WM (z:1.96,a:1.5,(0.15, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:1.5,(0.15, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.96,a:1.5,(0.2, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,3.0,111,5,1
"CTM (z:1.96,a:1.5,(0.2, 10))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:1.5,(0.2, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:1.5,(0.2, 15))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.96,a:1.5,(0.2, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:1.5,(0.2, 20))",z:1.96 alpha:1.5,MG:-5 Var:1,500.0,8.0,111,5,1
"SWM (z:1.96,a:2,10)",z:1.96 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"TM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"WM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"CTM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"SWM (z:1.96,a:2,15)",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"TM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"SWM (z:1.96,a:2,20)",z:1.96 alpha:2,MG:-5 Var:1,500.0,10.0,111,5,1
"TM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"WM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"SWM (z:1.96,a:2,25)",z:1.96 alpha:2,MG:-5 Var:1,500.0,13.0,111,5,1
"TM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"WM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,4.0,111,5,1
"CTM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"SWM (z:1.96,a:2,30)",z:1.96 alpha:2,MG:-5 Var:1,500.0,15.0,111,5,1
"TM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"WM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.96,a:2,(0.15, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.96,a:2,(0.15, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,9.0,111,5,1
"WM (z:1.96,a:2,(0.2, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:2,(0.2, 10))",z:1.96 alpha:2,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:2,(0.2, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,7.0,111,5,1
"CTM (z:1.96,a:2,(0.2, 15))",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.96,a:2,(0.2, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.96,a:2,(0.2, 20))",z:1.96 alpha:2,MG:-5 Var:1,500.0,10.0,111,5,1
"SWM (z:1.96,a:2.5,10)",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"TM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"WM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,5.0,111,5,1
"CTM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,6.0,111,5,1
"SWM (z:1.96,a:2.5,15)",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"TM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"WM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"CTM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,8.0,111,5,1
"SWM (z:1.96,a:2.5,20)",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"TM (z:1.96,a:2.5,(0.1, 20))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
"WM (z:1.96,a:2.5,(0.1, 20))",z:1.96 alpha:2.5,MG:-5 Var:1,500.0,10.0,111,5,1
