"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 20))",356.8333,247.9719,10.0,7.8102
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 10))",31.7018,17.9826,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 15))",83.8333,42.4392,8.3333,5.7735
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.15, 20))",388.0,193.9897,12.3333,6.5064
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 10))",24.1687,10.0601,6.6667,6.6583
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 15))",83.0667,43.7494,10.6667,6.5064
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.2, 20))",374.4167,217.5167,10.0,7.9373
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.1, 10))",500.0,0.0,91.0,87.2983
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,107.0,82.8915
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,109.6667,84.5951
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.15, 10))",500.0,0.0,95.3333,92.9157
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.15, 15))",500.0,0.0,176.0,196.2957
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.15, 20))",500.0,0.0,180.6667,192.4613
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.2, 10))",500.0,0.0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.2, 15))",500.0,0.0,178.0,194.1443
MG:-1 Var:1,z:1.6449 alpha:1.5,"CTM (z:1.6449,a:1.5,(0.2, 20))",500.0,0.0,267.6667,151.7707
MG:-1 Var:1,z:1.6449 alpha:1.5,"SWM (z:1.6449,a:1.5,10)",500.0,0.0,12.0,2.0
MG:-1 Var:1,z:1.6449 alpha:1.5,"SWM (z:1.6449,a:1.5,15)",500.0,0.0,23.0,5.0
MG:-1 Var:1,z:1.6449 alpha:1.5,"SWM (z:1.6449,a:1.5,20)",500.0,0.0,73.0,73.6546
MG:-1 Var:1,z:1.6449 alpha:1.5,"SWM (z:1.6449,a:1.5,25)",500.0,0.0,93.6667,64.2599
MG:-1 Var:1,z:1.6449 alpha:1.5,"SWM (z:1.6449,a:1.5,30)",500.0,0.0,94.3333,63.3193
MG:-1 Var:1,z:1.6449 alpha:1.5,"TM (z:1.6449,a:1.5,(0.1, 10))",500.0,0.0,23.6667,16.5025
MG:-1 Var:1,z:1.6449 alpha:1.5,"TM (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,69.6667,79.9646
MG:-1 Var:1,z:1.6449 alpha:1.5,"TM (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,96.3333,90.5226
MG:-1 Var:1,z:1.6449 alpha:1.5,"TM (z:1.6449,a:1.5,(0.15, 10))",500.0,0.0,23.6667,16.5025
MG:-1 Var:1,z:1.6449 alpha:1.5,"TM (z:1.6449,a:1.5,(0.15, 15))",500.0,0.0,69.6667,79.9646
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.1, 10))",500.0,0.0,31.0,28.931
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.1, 15))",500.0,0.0,80.6667,94.7066
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.1, 20))",500.0,0.0,94.0,91.1482
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 10))",500.0,0.0,31.0,28.931
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 15))",500.0,0.0,79.0,73.328
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 20))",500.0,0.0,94.6667,89.5842
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 10))",500.0,0.0,22.6667,14.8436
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 15))",500.0,0.0,76.6667,76.0614
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 20))",500.0,0.0,95.3333,91.4677
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 10))",500.0,0.0,280.0,131.1488
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 10))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,10)",500.0,0.0,105.0,80.2932
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,15)",500.0,0.0,197.0,99.5038
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,20)",500.0,0.0,204.6667,102.0408
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,25)",500.0,0.0,301.0,171.473
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,30)",500.0,0.0,304.3333,165.6995
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 10))",500.0,0.0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 15))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 20))",500.0,0.0,368.3333,54.8483
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.15, 10))",500.0,0.0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.15, 15))",500.0,0.0,267.6667,151.117
