"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,20)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,25)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,30)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 10))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.15, 10))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 10))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 10))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 10))",500,0,280,131.1488
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.1, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.15, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.2, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"CTM (z:1.6449,a:3,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"SWM (z:1.6449,a:3,10)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"SWM (z:1.6449,a:3,15)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"SWM (z:1.6449,a:3,20)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"SWM (z:1.6449,a:3,25)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"SWM (z:1.6449,a:3,30)",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"TM (z:1.6449,a:3,(0.1, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"TM (z:1.6449,a:3,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"TM (z:1.6449,a:3,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"TM (z:1.6449,a:3,(0.15, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"TM (z:1.6449,a:3,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.1, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.15, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.2, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:3,"WM (z:1.6449,a:3,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.1, 10))",239.3788,241.6879,7,6.245
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.1, 15))",368.8333,227.1873,11.3333,6.5064
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.1, 20))",500,0,15.6667,6.6583
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.15, 10))",341.6333,274.2991,7,6.245
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.15, 15))",380.6667,206.6914,13,6.5574
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.15, 20))",500,0,16,7.2111
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.2, 10))",343.7083,270.7051,7.6667,6.4291
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.2, 15))",475.3333,42.7239,13.6667,6.5064
MG:-1 Var:1,z:1.96 alpha:1,"CTM (z:1.96,a:1,(0.2, 20))",500,0,16,7.2111
MG:-1 Var:1,z:1.96 alpha:1,"SWM (z:1.96,a:1,10)",24.0525,11.088,6,7.2111
MG:-1 Var:1,z:1.96 alpha:1,"SWM (z:1.96,a:1,15)",47.0869,30.7571,5.6667,7.3711
MG:-1 Var:1,z:1.96 alpha:1,"SWM (z:1.96,a:1,20)",342.5741,272.6697,8,12.1655
MG:-1 Var:1,z:1.96 alpha:1,"SWM (z:1.96,a:1,25)",357.0952,247.5183,8.6667,11.5902
MG:-1 Var:1,z:1.96 alpha:1,"SWM (z:1.96,a:1,30)",500,0,10.6667,11.9304
MG:-1 Var:1,z:1.96 alpha:1,"TM (z:1.96,a:1,(0.1, 10))",29.8583,18.3365,6.3333,6.8069
MG:-1 Var:1,z:1.96 alpha:1,"TM (z:1.96,a:1,(0.1, 15))",96.7381,65.8211,8,6.0828
MG:-1 Var:1,z:1.96 alpha:1,"TM (z:1.96,a:1,(0.1, 20))",356.8095,248.0132,9.3333,8.3865
MG:-1 Var:1,z:1.96 alpha:1,"TM (z:1.96,a:1,(0.15, 10))",29.8583,18.3365,6.3333,6.8069
MG:-1 Var:1,z:1.96 alpha:1,"TM (z:1.96,a:1,(0.15, 15))",79.5455,49.7793,8,6.0828
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.1, 10))",25.9074,16.4254,6,6.245
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.1, 15))",214.2037,251.3341,8,6.0828
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.1, 20))",366.1333,231.8639,9.3333,6.6583
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.15, 10))",25.9074,16.4254,6,6.245
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.15, 15))",52.0303,27.1214,8.3333,5.7735
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.15, 20))",240.8095,228.1409,10,7.8102
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.2, 10))",21.7041,8.3008,6.3333,6.8069
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.2, 15))",61.1843,33.5982,7.6667,8.3267
MG:-1 Var:1,z:1.96 alpha:1,"WM (z:1.96,a:1,(0.2, 20))",354.0417,252.8072,8.6667,7.2342
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.1, 10))",500,0,90.3333,88.0019
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.1, 15))",500,0,93.3333,89.7181
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.1, 20))",500,0,108.3333,84.6896
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.15, 10))",500,0,91.6667,88.444
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.15, 15))",500,0,137,131.6359
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.15, 20))",500,0,112.6667,84.1091
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.2, 10))",500,0,109,87.4014
